RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Nieminen200,1,95,1,41
Follath2002,27,103,38,100
Moiseyev2002,91,402,32,102
Zairis2004,11,74,49,153
Morelli2005,7,15,9,15
Adamopoulos2006,2,23,9,46
Al2006,1,14,1,16
Alvarez2006,1,21,1,20
Flevari2006,3,30,0,15
GarciaGonzalez2006,3,11,1,11
Berger2007,6,39,7,36
De2007,0,15,3,15
Mavrogeni2007,2,25,8,25
Mebazaa2007,176,664,185,663
Zemljic2007,0,20,0,20
DuygaA2008,1,20,2,20
Duygu2008,4,30,3,32
Fuhrmann2008,5,16,10,16
LevinA2008,1,39,8,38
LevinB2008,2,36,9,35
Alhashemi2009,10,21,13,21
Eriksson2009,0,30,2,30
Illiuta2009,15,296,29,304
Kleber2009,0,18,1,10
Levin2009,6,40,19,40
LevinA2009,9,127,20,126
Tritapepe2009,0,52,0,50
Vaitsis2009,7,23,11,19
Bergh2010,1,29,1,31
Kurt2010,1,31,4,29
Yontar2010,1,37,1,23
Asaad2011,0,10,0,10
Biteker2011,3,12,3,12
Lathinen2011,12,99,12,101
Bonios2012,4,21,8,21
Llorens2012,5,25,5,20
Lornivorotov2012,1,30,1,30
Malfatto2012,4,22,4,11
Memis2012,2,13,5,10
Dogan2013,0,100,0,100
Husebye2013,1,30,4,31
Packer2013,49,350,40,350
Baysal2014,4,64,10,64
